[HUAWEI-diagnose]
display configuration diagnostic-information fsm cfg process 6 | no-more

*************************************BEGIN*************************************
The cfg fsm information: 
RunTime                            CurState                                    Event                                          ActionRslt NewState
2023-09-08 06:41:25.319            CFG_STATUS_UNKNOWN                          CFG_COMP_EVENT_COMP_CONSTRUCT_OVER             0x00000000 CFG_COMP_STATE_INIT                 
2023-09-08 06:41:25.352            CFG_COMP_STATE_INIT                         CFG_COMP_EVENT_STARTWORK_NOTIFY                0x00000000 CFG_COMP_STATE_SUBSCRIBE_WAIT       
2023-09-08 06:41:25.398            CFG_COMP_STATE_SUBSCRIBE_WAIT               CFG_COMP_EVENT_ADM_SUBSCRIBE_NOTIFY            0x00000000 CFG_COMP_STATE_SUBSCRIBE_WAIT       
2023-09-08 06:41:25.403            CFG_COMP_STATE_SUBSCRIBE_WAIT               CFG_COMP_EVENT_DBMS_SUBSCRIBE_NOTIFY           0x00000000 CFG_COMP_STATE_SUBSCRIBE_WAIT       
2023-09-08 06:41:28.255            CFG_COMP_STATE_SUBSCRIBE_WAIT               CFG_COMP_EVENT_ECM_SUBSCRIBE_NOTIFY            0x00000000 CFG_COMP_STATE_CONNECT_WAIT         
2023-09-08 06:41:28.255            CFG_COMP_STATE_CONNECT_WAIT                 CFG_COMP_EVENT_ECM_CONNECT_NOTIFY              0x008002e7 CFG_COMP_STATE_CONNECT_WAIT         
2023-09-08 06:41:28.255            CFG_COMP_STATE_CONNECT_WAIT                 CFG_COMP_EVENT_DBMS_CONNECT_NOTIFY             0x008002e7 CFG_COMP_STATE_CONNECT_WAIT         
2023-09-08 06:41:28.256            CFG_COMP_STATE_CONNECT_WAIT                 CFG_COMP_EVENT_ADM_CONNECT_NOTIFY              0x008002e7 CFG_COMP_STATE_CONNECT_WAIT         
2023-09-08 06:41:29.775            CFG_COMP_STATE_CONNECT_WAIT                 CFG_COMP_EVENT_BUILDRUN_RESTORE_CONNECT_OVER   0x00000000 CFG_COMP_STATE_BUILDRUN_AUTOEXEC_WAIT
2023-09-08 06:41:43.229            CFG_COMP_STATE_BUILDRUN_AUTOEXEC_WAIT       CFG_COMP_EVENT_AUTOEXECBEFORE_OVER_SMALLSYS_DEVICESYS  0x00000000 CFG_COMP_STATE_BUILDRUN_RESTORE_WAIT
2023-09-08 06:41:45.695            CFG_COMP_STATE_BUILDRUN_RESTORE_WAIT        CFG_COMP_EVENT_SMALLSYS_BUILDRUN_RESTORE_OVER  0x00000000 CFG_COMP_STATE_ADM_DATA_READY_WAIT_SMALLSYS
2023-09-08 06:41:45.709            CFG_COMP_STATE_ADM_DATA_READY_WAIT_SMALLSYS  CFG_COMP_EVENT_ADM_DATA_READY_OVER             0x00000000 CFG_COMP_STATE_SMALLSYS_RUNNING     
2023-09-08 06:42:24.534            CFG_COMP_STATE_SMALLSYS_RUNNING             CFG_COMP_EVENT_DEVICE_RESTORE_BEGIN            0x00000000 CFG_COMP_STATE_DEVICE_RESTORE       
2023-09-08 06:42:25.696            CFG_COMP_STATE_DEVICE_RESTORE               CFG_COMP_EVENT_DEVICE_RESTORE_OVER_BUILDRUN    0x00000000 CFG_COMP_STATE_BUILDRUN_RESTORE_WAIT
2023-09-08 06:42:35.368            CFG_COMP_STATE_BUILDRUN_RESTORE_WAIT        CFG_COMP_EVENT_BUILDRUN_RESTORE_OVER           0x00000000 CFG_COMP_STATE_AUTOEXEC_WAIT        
2023-09-08 06:42:37.598            CFG_COMP_STATE_AUTOEXEC_WAIT                CFG_COMP_EVENT_AUTOEXEC_OVER_NORMAL            0x00000000 CFG_COMP_STATE_ADM_DATA_READY_WAIT  
2023-09-08 06:42:37.621            CFG_COMP_STATE_ADM_DATA_READY_WAIT          CFG_COMP_EVENT_ADM_DATA_READY_OVER             0x00000000 CFG_COMP_STATE_DBMS_DATA_READY_WAIT 
2023-09-08 06:42:37.640            CFG_COMP_STATE_DBMS_DATA_READY_WAIT         CFG_COMP_EVENT_DBMS_DATA_READY_OVER            0x00000000 CFG_COMP_STATE_DATA_READY           
2023-09-08 06:42:37.660            CFG_COMP_STATE_DATA_READY                   CFG_COMP_EVENT_AUTOEXEC_OVER_NORMAL            0x008002e7 CFG_COMP_STATE_DATA_READY           
2023-09-08 06:43:25.984            CFG_COMP_STATE_DATA_READY                   CFG_COMP_EVENT_FIRST_BUILDRUN_BEGIN            0x00000000 CFG_COMP_STATE_FIRST_BUILDRUN_WAIT  
2023-09-08 06:43:27.312            CFG_COMP_STATE_FIRST_BUILDRUN_WAIT          CFG_COMP_EVENT_DBMS_DATA_READY_OVER            0x00000000 CFG_COMP_STATE_SYSTEM_INIT_READY_AUTOEXEC_WAIT
2023-09-08 06:43:27.335            CFG_COMP_STATE_SYSTEM_INIT_READY_AUTOEXEC_WAIT  CFG_COMP_EVENT_AUTOEXEC_OVER_NORMAL            0x00000000 CFG_COMP_STATE_DATA_READY           

*************************************END***************************************
[HUAWEI-diagnose]
